Paper,Figure,Day,Prey,Individuals_Prey,Predator,Individuals_Predator,Immigration
gause_1934_science,1.0,1,Paramecium caudatum,4.00498916,Didinium nasutum,,n
gause_1934_science,1.0,2,Paramecium caudatum,8.716182104,Didinium nasutum,,n
gause_1934_science,1.0,3,Paramecium caudatum,15.2519823,Didinium nasutum,,y
gause_1934_science,1.0,4,Paramecium caudatum,25.00579099,Didinium nasutum,6.157455528,n
gause_1934_science,1.0,5,Paramecium caudatum,54.98233006,Didinium nasutum,7.186172898,n
gause_1934_science,1.0,6,Paramecium caudatum,27.03946782,Didinium nasutum,32.10584148,y
gause_1934_science,1.0,7,Paramecium caudatum,11.05396015,Didinium nasutum,29.44733169,n
gause_1934_science,1.0,8,Paramecium caudatum,2.423900454,Didinium nasutum,18.04947584,n
gause_1934_science,1.0,9,Paramecium caudatum,2.073471327,Didinium nasutum,13.09714014,y
gause_1934_science,1.0,10,Paramecium caudatum,2.173254536,Didinium nasutum,6.770409527,n
gause_1934_science,1.0,11,Paramecium caudatum,7.77536899,Didinium nasutum,2.737504826,n
gause_1934_science,1.0,12,Paramecium caudatum,17.548184,Didinium nasutum,1.9,y
gause_1934_science,1.0,13,Paramecium caudatum,30.51049803,Didinium nasutum,5.681109494,n
gause_1934_science,1.0,14,Paramecium caudatum,20.04632792,Didinium nasutum,29.69560182,n
gause_1934_science,1.0,15,Paramecium caudatum,2.662667419,Didinium nasutum,38.99444659,y
gause_1934_science,1.0,16,Paramecium caudatum,2.771953791,Didinium nasutum,22.08000475,n
gause_1934_science,1.0,17,Paramecium caudatum,2.871737,Didinium nasutum,12.06604698,n
