Paper,Figure,Day,Species1,Volume_Species1,Species2,Volume_Species2,Treatment
gause_1934_science,2-3,2,Paramecium caudatum,8.486437927,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,3,Paramecium caudatum,9.463023067,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,4,Paramecium caudatum,7.633012635,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,5,Paramecium caudatum,17.95670569,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,6,Paramecium caudatum,51.6373015,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,7,Paramecium caudatum,103.0789962,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,8,Paramecium caudatum,135.8250261,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,9,Paramecium caudatum,164.8371392,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,10,Paramecium caudatum,196.65295,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,11,Paramecium caudatum,217.2525212,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,12,Paramecium caudatum,200.4665585,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,13,Paramecium caudatum,202.3719138,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,14,Paramecium caudatum,183.7211661,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,15,Paramecium caudatum,192.1713805,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,16,Paramecium caudatum,180.9942622,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,17,Paramecium caudatum,192.2539701,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,18,Paramecium caudatum,208.1778138,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,19,Paramecium caudatum,211.0220818,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,20,Paramecium caudatum,195.172134,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,21,Paramecium caudatum,197.0789382,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,22,Paramecium caudatum,222.3498899,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,23,Paramecium caudatum,210.2382056,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,24,Paramecium caudatum,214.0170395,Paramecium aurelia,0.0,Pc
gause_1934_science,2-3,2,Paramecium caudatum,4.751037795,Paramecium aurelia,3.773584906,Mixture
gause_1934_science,2-3,3,Paramecium caudatum,8.529844313,Paramecium aurelia,6.603773585,Mixture
gause_1934_science,2-3,4,Paramecium caudatum,7.637304123,Paramecium aurelia,19.81132075,Mixture
gause_1934_science,2-3,5,Paramecium caudatum,48.79412894,Paramecium aurelia,33.96226415,Mixture
gause_1934_science,2-3,6,Paramecium caudatum,92.75608007,Paramecium aurelia,73.58490566,Mixture
gause_1934_science,2-3,7,Paramecium caudatum,105.87758,Paramecium aurelia,63.20754717,Mixture
gause_1934_science,2-3,8,Paramecium caudatum,123.6791202,Paramecium aurelia,84.90566038,Mixture
gause_1934_science,2-3,9,Paramecium caudatum,95.67712069,Paramecium aurelia,113.2075472,Mixture
gause_1934_science,2-3,10,Paramecium caudatum,79.82728768,Paramecium aurelia,90.56603774,Mixture
gause_1934_science,2-3,11,Paramecium caudatum,63.9789036,Paramecium aurelia,119.8113208,Mixture
gause_1934_science,2-3,12,Paramecium caudatum,84.58122333,Paramecium aurelia,124.5283019,Mixture
gause_1934_science,2-3,13,Paramecium caudatum,54.71445234,Paramecium aurelia,127.3584906,Mixture
gause_1934_science,2-3,14,Paramecium caudatum,67.84029906,Paramecium aurelia,150.9433962,Mixture
gause_1934_science,2-3,15,Paramecium caudatum,50.11844994,Paramecium aurelia,133.9622642,Mixture
gause_1934_science,2-3,16,Paramecium caudatum,53.89146074,Paramecium aurelia,143.3962264,Mixture
gause_1934_science,2-3,17,Paramecium caudatum,40.85110082,Paramecium aurelia,124.5283019,Mixture
gause_1934_science,2-3,18,Paramecium caudatum,45.56301754,Paramecium aurelia,142.4528302,Mixture
gause_1934_science,2-3,19,Paramecium caudatum,44.66468163,Paramecium aurelia,118.8679245,Mixture
gause_1934_science,2-3,20,Paramecium caudatum,51.2457166,Paramecium aurelia,142.4528302,Mixture
gause_1934_science,2-3,21,Paramecium caudatum,40.07012816,Paramecium aurelia,129.245283,Mixture
gause_1934_science,2-3,22,Paramecium caudatum,21.41806669,Paramecium aurelia,142.4528302,Mixture
gause_1934_science,2-3,23,Paramecium caudatum,19.59241631,Paramecium aurelia,135.8490566,Mixture
gause_1934_science,2-3,24,Paramecium caudatum,34.58013663,Paramecium aurelia,139.6226415,Mixture
gause_1934_science,2-3,2,Paramecium caudatum,0.0,Paramecium aurelia,3.773584906,Pa
gause_1934_science,2-3,3,Paramecium caudatum,0.0,Paramecium aurelia,12.26415094,Pa
gause_1934_science,2-3,4,Paramecium caudatum,0.0,Paramecium aurelia,20.75471698,Pa
gause_1934_science,2-3,5,Paramecium caudatum,0.0,Paramecium aurelia,34.90566038,Pa
gause_1934_science,2-3,6,Paramecium caudatum,0.0,Paramecium aurelia,74.52830189,Pa
gause_1934_science,2-3,7,Paramecium caudatum,0.0,Paramecium aurelia,105.6603774,Pa
gause_1934_science,2-3,8,Paramecium caudatum,0.0,Paramecium aurelia,129.245283,Pa
gause_1934_science,2-3,9,Paramecium caudatum,0.0,Paramecium aurelia,161.3207547,Pa
gause_1934_science,2-3,10,Paramecium caudatum,0.0,Paramecium aurelia,202.8301887,Pa
gause_1934_science,2-3,11,Paramecium caudatum,0.0,Paramecium aurelia,223.5849057,Pa
gause_1934_science,2-3,12,Paramecium caudatum,0.0,Paramecium aurelia,238.6792453,Pa
gause_1934_science,2-3,13,Paramecium caudatum,0.0,Paramecium aurelia,201.8867925,Pa
gause_1934_science,2-3,14,Paramecium caudatum,0.0,Paramecium aurelia,231.1320755,Pa
gause_1934_science,2-3,16,Paramecium caudatum,0.0,Paramecium aurelia,216.9811321,Pa
gause_1934_science,2-3,17,Paramecium caudatum,0.0,Paramecium aurelia,199.0566038,Pa
gause_1934_science,2-3,18,Paramecium caudatum,0.0,Paramecium aurelia,220.754717,Pa
gause_1934_science,2-3,21,Paramecium caudatum,0.0,Paramecium aurelia,229.245283,Pa
