Paper,Figure,Species,Time,Individuals,Treatment
gause_1936_AnE,1,Cheyletus eruditus,1,8,Wheat+Millet
gause_1936_AnE,1,Cheyletus eruditus,8,,Wheat+Millet
gause_1936_AnE,1,Cheyletus eruditus,19,36,Wheat+Millet
gause_1936_AnE,1,Cheyletus eruditus,26,12,Wheat+Millet
gause_1936_AnE,1,Cheyletus eruditus,36,5,Wheat+Millet
gause_1936_AnE,1,Cheyletus eruditus,43,2,Wheat+Millet
gause_1936_AnE,1,Cheyletus eruditus,1,8,Wheat
gause_1936_AnE,1,Cheyletus eruditus,8,11,Wheat
gause_1936_AnE,1,Cheyletus eruditus,19,68,Wheat
gause_1936_AnE,1,Cheyletus eruditus,26,24,Wheat
gause_1936_AnE,1,Cheyletus eruditus,36,12,Wheat
gause_1936_AnE,1,Cheyletus eruditus,43,12,Wheat
gause_1936_AnE,1,Cheyletus eruditus,50,1,Wheat
gause_1936_AnE,1,Cheyletus eruditus,1,8,Millet
gause_1936_AnE,1,Cheyletus eruditus,8,8,Millet
gause_1936_AnE,1,Cheyletus eruditus,19,20,Millet
gause_1936_AnE,1,Cheyletus eruditus,26,12,Millet
gause_1936_AnE,1,Aleuroglyphus agilis,1,100,Wheat+Millet
gause_1936_AnE,1,Aleuroglyphus agilis,8,,Wheat+Millet
gause_1936_AnE,1,Aleuroglyphus agilis,19,100,Wheat+Millet
gause_1936_AnE,1,Aleuroglyphus agilis,26,12,Wheat+Millet
gause_1936_AnE,1,Aleuroglyphus agilis,36,1,Wheat+Millet
gause_1936_AnE,1,Aleuroglyphus agilis,43,0,Wheat+Millet
gause_1936_AnE,1,Aleuroglyphus agilis,1,100,Wheat
gause_1936_AnE,1,Aleuroglyphus agilis,8,131,Wheat
gause_1936_AnE,1,Aleuroglyphus agilis,19,236,Wheat
gause_1936_AnE,1,Aleuroglyphus agilis,26,60,Wheat
gause_1936_AnE,1,Aleuroglyphus agilis,36,5,Wheat
gause_1936_AnE,1,Aleuroglyphus agilis,43,3,Wheat
gause_1936_AnE,1,Aleuroglyphus agilis,50,0,Wheat
gause_1936_AnE,1,Aleuroglyphus agilis,1,100,Millet
gause_1936_AnE,1,Aleuroglyphus agilis,8,92,Millet
gause_1936_AnE,1,Aleuroglyphus agilis,19,24,Millet
gause_1936_AnE,1,Aleuroglyphus agilis,26,0,Millet
