Paper,Table,Time,Species,Total_Individuals,Female,Male,Imago,Hexapod,Octapod,Initial_Fraction,Treatment
Gause_1936_AnE,2,6,Aleuroglyphus agilis,2,2,0,2,0,0,10/5,Wheat
Gause_1936_AnE,2,12,Aleuroglyphus agilis,2,1,1,2,0,0,10/5,Wheat
Gause_1936_AnE,2,18,Aleuroglyphus agilis,5,5,0,5,0,0,10/5,Wheat
Gause_1936_AnE,2,27,Aleuroglyphus agilis,30,0,0,0,28,2,10/5,Wheat
Gause_1936_AnE,2,7,Aleuroglyphus agilis,2,0,0,0,2,0,10/5,Semoletta
Gause_1936_AnE,2,13,Aleuroglyphus agilis,0,0,0,0,0,0,10/5,Semoletta
Gause_1936_AnE,2,19,Aleuroglyphus agilis,0,0,0,0,0,0,10/5,Semoletta
Gause_1936_AnE,2,25,Aleuroglyphus agilis,0,0,0,0,0,0,10/5,Semoletta
Gause_1936_AnE,2,28,Aleuroglyphus agilis,0,0,0,0,0,0,10/5,Semoletta
Gause_1936_AnE,2,7,Aleuroglyphus agilis,6,2,0,2,4,0,10/5,Semoletta
Gause_1936_AnE,2,13,Aleuroglyphus agilis,0,0,0,0,0,0,10/5,Semoletta
Gause_1936_AnE,2,19,Aleuroglyphus agilis,0,0,0,0,0,0,10/5,Semoletta
Gause_1936_AnE,2,25,Aleuroglyphus agilis,0,0,0,0,0,0,10/5,Semoletta
Gause_1936_AnE,2,28,Aleuroglyphus agilis,0,0,0,0,0,0,10/5,Semoletta
Gause_1936_AnE,2,6,Aleuroglyphus agilis,3,0,0,0,1,2,25/5,Wheat
Gause_1936_AnE,2,12,Aleuroglyphus agilis,17,6,3,9,1,7,25/5,Wheat
Gause_1936_AnE,2,18,Aleuroglyphus agilis,36,12,6,18,10,8,25/5,Wheat
Gause_1936_AnE,2,23,Aleuroglyphus agilis,42,2,4,6,24,12,25/5,Wheat
Gause_1936_AnE,2,27,Aleuroglyphus agilis,204,8,0,8,188,8,25/5,Wheat
Gause_1936_AnE,2,32,Aleuroglyphus agilis,104,16,0,16,24,32,25/5,Wheat
Gause_1936_AnE,2,35,Aleuroglyphus agilis,72,16,0,16,24,32,25/5,Wheat
Gause_1936_AnE,2,38,Aleuroglyphus agilis,0,0,0,0,0,0,25/5,Wheat
Gause_1936_AnE,2,41,Aleuroglyphus agilis,4,0,0,0,4,0,25/5,Wheat
Gause_1936_AnE,2,47,Aleuroglyphus agilis,0,0,0,0,0,0,25/5,Wheat
Gause_1936_AnE,2,7,Aleuroglyphus agilis,20,0,0,0,10,10,25/5,Semoletta
Gause_1936_AnE,2,13,Aleuroglyphus agilis,50,6,4,10,18,22,25/5,Semoletta
Gause_1936_AnE,2,20,Aleuroglyphus agilis,32,8,2,10,10,12,25/5,Semoletta
Gause_1936_AnE,2,24,Aleuroglyphus agilis,8,0,0,0,8,0,25/5,Semoletta
Gause_1936_AnE,2,30,Aleuroglyphus agilis,8,2,0,2,6,0,25/5,Semoletta
Gause_1936_AnE,2,33,Aleuroglyphus agilis,0,0,0,0,0,0,25/5,Semoletta
Gause_1936_AnE,2,36,Aleuroglyphus agilis,0,0,0,0,0,0,25/5,Semoletta
Gause_1936_AnE,2,6,Aleuroglyphus agilis,5,2,0,2,0,1,25/5,Wheat
Gause_1936_AnE,2,12,Aleuroglyphus agilis,10,4,1,5,0,5,25/5,Wheat
Gause_1936_AnE,2,18,Aleuroglyphus agilis,8,4,4,8,0,0,25/5,Wheat
Gause_1936_AnE,2,23,Aleuroglyphus agilis,6,0,0,0,6,0,25/5,Wheat
Gause_1936_AnE,2,27,Aleuroglyphus agilis,4,4,0,4,0,0,25/5,Wheat
Gause_1936_AnE,2,32,Aleuroglyphus agilis,0,0,0,0,0,0,25/5,Wheat
Gause_1936_AnE,2,7,Aleuroglyphus agilis,16,0,0,0,14,2,25/5,Semoletta
Gause_1936_AnE,2,13,Aleuroglyphus agilis,0,0,0,0,0,0,25/5,Semoletta
Gause_1936_AnE,2,20,Aleuroglyphus agilis,2,0,2,2,0,0,25/5,Semoletta
Gause_1936_AnE,2,24,Aleuroglyphus agilis,12,4,0,4,8,0,25/5,Semoletta
Gause_1936_AnE,2,30,Aleuroglyphus agilis,4,0,0,0,4,0,25/5,Semoletta
Gause_1936_AnE,2,33,Aleuroglyphus agilis,14,0,0,0,10,4,25/5,Semoletta
Gause_1936_AnE,2,36,Aleuroglyphus agilis,8,0,0,0,0,8,25/5,Semoletta
Gause_1936_AnE,2,41,Aleuroglyphus agilis,0,0,0,0,0,0,25/5,Semoletta
Gause_1936_AnE,2,6,Aleuroglyphus agilis,44,4,4,8,16,20,50/5,Wheat
Gause_1936_AnE,2,12,Aleuroglyphus agilis,68,12,4,16,16,36,50/5,Wheat
Gause_1936_AnE,2,18,Aleuroglyphus agilis,112,8,4,12,76,24,50/5,Wheat
Gause_1936_AnE,2,23,Aleuroglyphus agilis,148,20,8,28,100,20,50/5,Wheat
Gause_1936_AnE,2,27,Aleuroglyphus agilis,224,8,0,8,216,0,50/5,Wheat
Gause_1936_AnE,2,32,Aleuroglyphus agilis,496,32,16,48,448,0,50/5,Wheat
Gause_1936_AnE,2,35,Aleuroglyphus agilis,128,0,0,0,112,16,50/5,Wheat
Gause_1936_AnE,2,38,Aleuroglyphus agilis,16,0,0,0,16,0,50/5,Wheat
Gause_1936_AnE,2,41,Aleuroglyphus agilis,0,0,0,0,0,0,50/5,Wheat
Gause_1936_AnE,2,44,Aleuroglyphus agilis,0,0,0,0,0,0,50/5,Wheat
Gause_1936_AnE,2,7,Aleuroglyphus agilis,62,12,4,16,26,20,50/5,Semoletta
Gause_1936_AnE,2,24,Aleuroglyphus agilis,256,64,32,96,128,32,50/5,Semoletta
Gause_1936_AnE,2,6,Aleuroglyphus agilis,24,0,0,0,12,12,50/5,Wheat
Gause_1936_AnE,2,12,Aleuroglyphus agilis,28,20,8,28,0,0,50/5,Wheat
Gause_1936_AnE,2,23,Aleuroglyphus agilis,256,12,8,20,228,8,50/5,Wheat
Gause_1936_AnE,2,27,Aleuroglyphus agilis,408,24,16,40,32,336,50/5,Wheat
Gause_1936_AnE,2,32,Aleuroglyphus agilis,496,32,16,48,336,112,50/5,Wheat
Gause_1936_AnE,2,35,Aleuroglyphus agilis,288,80,16,96,160,32,50/5,Wheat
Gause_1936_AnE,2,38,Aleuroglyphus agilis,32,8,0,8,16,8,50/5,Wheat
Gause_1936_AnE,2,41,Aleuroglyphus agilis,0,0,0,0,0,0,50/5,Wheat
Gause_1936_AnE,2,44,Aleuroglyphus agilis,20,0,0,0,20,0,50/5,Wheat
Gause_1936_AnE,2,47,Aleuroglyphus agilis,0,0,0,0,0,0,50/5,Wheat
Gause_1936_AnE,2,12,Aleuroglyphus agilis,20,12,0,12,0,8,75/5,Wheat
Gause_1936_AnE,2,18,Aleuroglyphus agilis,4,0,0,0,4,0,75/5,Wheat
Gause_1936_AnE,2,27,Aleuroglyphus agilis,44,4,0,4,36,4,75/5,Wheat
Gause_1936_AnE,2,32,Aleuroglyphus agilis,112,16,8,24,32,56,75/5,Wheat
Gause_1936_AnE,2,35,Aleuroglyphus agilis,160,16,32,48,16,96,75/5,Wheat
Gause_1936_AnE,2,38,Aleuroglyphus agilis,46,40,16,56,0,0,75/5,Wheat
Gause_1936_AnE,2,41,Aleuroglyphus agilis,0,0,0,0,0,0,75/5,Wheat
Gause_1936_AnE,2,44,Aleuroglyphus agilis,12,0,0,0,12,0,75/5,Wheat
Gause_1936_AnE,2,47,Aleuroglyphus agilis,0,0,0,0,0,0,75/5,Wheat
Gause_1936_AnE,2,8,Aleuroglyphus agilis,84,4,4,8,36,40,100/5,Semoletta
Gause_1936_AnE,2,14,Aleuroglyphus agilis,88,0,0,0,68,20,100/5,Semoletta
Gause_1936_AnE,2,20,Aleuroglyphus agilis,0,0,0,0,0,0,100/5,Semoletta
Gause_1936_AnE,2,24,Aleuroglyphus agilis,12,0,0,0,8,4,100/5,Semoletta
Gause_1936_AnE,2,30,Aleuroglyphus agilis,0,0,0,0,0,0,100/5,Semoletta
Gause_1936_AnE,2,8,Aleuroglyphus agilis,132,12,4,16,44,72,125/5,Semoletta
Gause_1936_AnE,2,14,Aleuroglyphus agilis,64,0,0,0,48,16,125/5,Semoletta
Gause_1936_AnE,2,20,Aleuroglyphus agilis,8,0,0,0,8,0,125/5,Semoletta
Gause_1936_AnE,2,25,Aleuroglyphus agilis,0,0,0,0,0,0,125/5,Semoletta
Gause_1936_AnE,2,30,Aleuroglyphus agilis,0,0,0,0,0,0,125/5,Semoletta
Gause_1936_AnE,2,7,Aleuroglyphus agilis,104,12,4,16,24,64,150/5,Wheat
Gause_1936_AnE,2,13,Aleuroglyphus agilis,224,24,24,48,88,88,150/5,Wheat
Gause_1936_AnE,2,19,Aleuroglyphus agilis,288,64,40,104,72,112,150/5,Wheat
Gause_1936_AnE,2,24,Aleuroglyphus agilis,232,8,8,16,160,56,150/5,Wheat
Gause_1936_AnE,2,29,Aleuroglyphus agilis,336,64,24,88,184,64,150/5,Wheat
Gause_1936_AnE,2,33,Aleuroglyphus agilis,192,0,0,0,192,0,150/5,Wheat
Gause_1936_AnE,2,36,Aleuroglyphus agilis,16,0,0,0,16,0,150/5,Wheat
Gause_1936_AnE,2,38,Aleuroglyphus agilis,8,0,0,0,8,0,150/5,Wheat
Gause_1936_AnE,2,41,Aleuroglyphus agilis,0,0,0,0,0,0,150/5,Wheat
Gause_1936_AnE,2,6,Cheyletus eruditus,1,,,1,0,0,10/5,Wheat
Gause_1936_AnE,2,12,Cheyletus eruditus,0,,,0,0,0,10/5,Wheat
Gause_1936_AnE,2,18,Cheyletus eruditus,0,,,0,0,0,10/5,Wheat
Gause_1936_AnE,2,27,Cheyletus eruditus,0,,,0,0,0,10/5,Wheat
Gause_1936_AnE,2,7,Cheyletus eruditus,2,,,2,0,0,10/5,Semoletta
Gause_1936_AnE,2,13,Cheyletus eruditus,10,,,0,0,10,10/5,Semoletta
Gause_1936_AnE,2,19,Cheyletus eruditus,6,,,0,6,0,10/5,Semoletta
Gause_1936_AnE,2,25,Cheyletus eruditus,4,,,0,0,4,10/5,Semoletta
Gause_1936_AnE,2,28,Cheyletus eruditus,1,,,0,0,1,10/5,Semoletta
Gause_1936_AnE,2,7,Cheyletus eruditus,2,,,2,0,0,10/5,Semoletta
Gause_1936_AnE,2,13,Cheyletus eruditus,2,,,0,0,2,10/5,Semoletta
Gause_1936_AnE,2,19,Cheyletus eruditus,2,,,0,0,2,10/5,Semoletta
Gause_1936_AnE,2,25,Cheyletus eruditus,4,,,0,0,4,10/5,Semoletta
Gause_1936_AnE,2,28,Cheyletus eruditus,1,,,0,0,1,10/5,Semoletta
Gause_1936_AnE,2,6,Cheyletus eruditus,0,,,0,0,0,25/5,Wheat
Gause_1936_AnE,2,12,Cheyletus eruditus,2,,,1,1,0,25/5,Wheat
Gause_1936_AnE,2,18,Cheyletus eruditus,4,,,0,2,2,25/5,Wheat
Gause_1936_AnE,2,23,Cheyletus eruditus,2,,,2,0,0,25/5,Wheat
Gause_1936_AnE,2,27,Cheyletus eruditus,8,,,8,0,0,25/5,Wheat
Gause_1936_AnE,2,32,Cheyletus eruditus,16,,,0,16,0,25/5,Wheat
Gause_1936_AnE,2,35,Cheyletus eruditus,32,,,0,16,16,25/5,Wheat
Gause_1936_AnE,2,38,Cheyletus eruditus,24,,,0,8,16,25/5,Wheat
Gause_1936_AnE,2,41,Cheyletus eruditus,12,,,8,4,0,25/5,Wheat
Gause_1936_AnE,2,47,Cheyletus eruditus,4,,,0,0,4,25/5,Wheat
Gause_1936_AnE,2,7,Cheyletus eruditus,2,,,2,0,0,25/5,Semoletta
Gause_1936_AnE,2,13,Cheyletus eruditus,2,,,2,0,0,25/5,Semoletta
Gause_1936_AnE,2,20,Cheyletus eruditus,22,,,2,14,6,25/5,Semoletta
Gause_1936_AnE,2,24,Cheyletus eruditus,12,,,4,0,8,25/5,Semoletta
Gause_1936_AnE,2,30,Cheyletus eruditus,8,,,2,2,4,25/5,Semoletta
Gause_1936_AnE,2,33,Cheyletus eruditus,6,,,6,0,0,25/5,Semoletta
Gause_1936_AnE,2,36,Cheyletus eruditus,1,,,0,1,0,25/5,Semoletta
Gause_1936_AnE,2,6,Cheyletus eruditus,0,,,0,0,0,25/5,Wheat
Gause_1936_AnE,2,12,Cheyletus eruditus,1,,,0,0,1,25/5,Wheat
Gause_1936_AnE,2,18,Cheyletus eruditus,2,,,2,0,0,25/5,Wheat
Gause_1936_AnE,2,23,Cheyletus eruditus,4,,,0,0,4,25/5,Wheat
Gause_1936_AnE,2,27,Cheyletus eruditus,12,,,0,12,0,25/5,Wheat
Gause_1936_AnE,2,32,Cheyletus eruditus,16,,,0,0,16,25/5,Wheat
Gause_1936_AnE,2,7,Cheyletus eruditus,4,,,4,0,0,25/5,Semoletta
Gause_1936_AnE,2,13,Cheyletus eruditus,6,,,2,4,0,25/5,Semoletta
Gause_1936_AnE,2,20,Cheyletus eruditus,6,,,2,0,4,25/5,Semoletta
Gause_1936_AnE,2,24,Cheyletus eruditus,0,,,0,0,0,25/5,Semoletta
Gause_1936_AnE,2,30,Cheyletus eruditus,0,,,0,0,0,25/5,Semoletta
Gause_1936_AnE,2,33,Cheyletus eruditus,1,,,1,0,0,25/5,Semoletta
Gause_1936_AnE,2,36,Cheyletus eruditus,2,,,0,2,0,25/5,Semoletta
Gause_1936_AnE,2,41,Cheyletus eruditus,2,,,0,0,2,25/5,Semoletta
Gause_1936_AnE,2,6,Cheyletus eruditus,4,,,4,0,0,50/5,Wheat
Gause_1936_AnE,2,12,Cheyletus eruditus,4,,,0,0,4,50/5,Wheat
Gause_1936_AnE,2,18,Cheyletus eruditus,0,,,0,0,0,50/5,Wheat
Gause_1936_AnE,2,23,Cheyletus eruditus,4,,,4,0,0,50/5,Wheat
Gause_1936_AnE,2,27,Cheyletus eruditus,32,,,16,16,0,50/5,Wheat
Gause_1936_AnE,2,32,Cheyletus eruditus,16,,,0,16,0,50/5,Wheat
Gause_1936_AnE,2,35,Cheyletus eruditus,32,,,0,0,32,50/5,Wheat
Gause_1936_AnE,2,38,Cheyletus eruditus,40,,,8,24,8,50/5,Wheat
Gause_1936_AnE,2,41,Cheyletus eruditus,16,,,4,0,12,50/5,Wheat
Gause_1936_AnE,2,44,Cheyletus eruditus,4,,,4,0,0,50/5,Wheat
Gause_1936_AnE,2,7,Cheyletus eruditus,0,,,0,0,0,50/5,Semoletta
Gause_1936_AnE,2,24,Cheyletus eruditus,0,,,0,0,0,50/5,Semoletta
Gause_1936_AnE,2,6,Cheyletus eruditus,4,,,4,0,0,50/5,Wheat
Gause_1936_AnE,2,12,Cheyletus eruditus,12,,,4,0,8,50/5,Wheat
Gause_1936_AnE,2,23,Cheyletus eruditus,12,,,8,0,4,50/5,Wheat
Gause_1936_AnE,2,27,Cheyletus eruditus,24,,,8,16,0,50/5,Wheat
Gause_1936_AnE,2,32,Cheyletus eruditus,64,,,0,64,0,50/5,Wheat
Gause_1936_AnE,2,35,Cheyletus eruditus,96,,,48,16,32,50/5,Wheat
Gause_1936_AnE,2,38,Cheyletus eruditus,120,,,32,56,32,50/5,Wheat
Gause_1936_AnE,2,41,Cheyletus eruditus,44,,,8,28,8,50/5,Wheat
Gause_1936_AnE,2,44,Cheyletus eruditus,24,,,12,8,4,50/5,Wheat
Gause_1936_AnE,2,47,Cheyletus eruditus,8,,,4,0,4,50/5,Wheat
Gause_1936_AnE,2,12,Cheyletus eruditus,0,,,0,0,0,75/5,Wheat
Gause_1936_AnE,2,18,Cheyletus eruditus,8,,,0,0,8,75/5,Wheat
Gause_1936_AnE,2,27,Cheyletus eruditus,0,,,0,0,0,75/5,Wheat
Gause_1936_AnE,2,32,Cheyletus eruditus,8,,,0,0,8,75/5,Wheat
Gause_1936_AnE,2,35,Cheyletus eruditus,16,,,0,0,16,75/5,Wheat
Gause_1936_AnE,2,38,Cheyletus eruditus,32,,,8,16,8,75/5,Wheat
Gause_1936_AnE,2,41,Cheyletus eruditus,16,,,8,0,8,75/5,Wheat
Gause_1936_AnE,2,44,Cheyletus eruditus,20,,,8,12,0,75/5,Wheat
Gause_1936_AnE,2,47,Cheyletus eruditus,12,,,0,4,8,75/5,Wheat
Gause_1936_AnE,2,8,Cheyletus eruditus,4,,,0,4,0,100/5,Semoletta
Gause_1936_AnE,2,14,Cheyletus eruditus,4,,,0,0,4,100/5,Semoletta
Gause_1936_AnE,2,20,Cheyletus eruditus,40,,,24,8,8,100/5,Semoletta
Gause_1936_AnE,2,24,Cheyletus eruditus,8,,,0,0,8,100/5,Semoletta
Gause_1936_AnE,2,30,Cheyletus eruditus,4,,,0,0,4,100/5,Semoletta
Gause_1936_AnE,2,8,Cheyletus eruditus,16,,,4,12,0,125/5,Semoletta
Gause_1936_AnE,2,14,Cheyletus eruditus,16,,,0,0,16,125/5,Semoletta
Gause_1936_AnE,2,20,Cheyletus eruditus,8,,,0,8,0,125/5,Semoletta
Gause_1936_AnE,2,25,Cheyletus eruditus,0,,,0,0,0,125/5,Semoletta
Gause_1936_AnE,2,30,Cheyletus eruditus,2,,,0,2,0,125/5,Semoletta
Gause_1936_AnE,2,7,Cheyletus eruditus,0,,,0,0,0,150/5,Wheat
Gause_1936_AnE,2,13,Cheyletus eruditus,8,,,0,0,8,150/5,Wheat
Gause_1936_AnE,2,19,Cheyletus eruditus,16,,,8,8,0,150/5,Wheat
Gause_1936_AnE,2,24,Cheyletus eruditus,16,,,16,0,0,150/5,Wheat
Gause_1936_AnE,2,29,Cheyletus eruditus,32,,,0,24,8,150/5,Wheat
Gause_1936_AnE,2,33,Cheyletus eruditus,64,,,32,32,0,150/5,Wheat
Gause_1936_AnE,2,36,Cheyletus eruditus,16,,,0,4,12,150/5,Wheat
Gause_1936_AnE,2,38,Cheyletus eruditus,40,,,4,16,20,150/5,Wheat
Gause_1936_AnE,2,41,Cheyletus eruditus,16,,,8,0,8,150/5,Wheat
Gause_1936_AnE,2,,,,,,,,,,
