Paper,Figure,year,Species,width,individuals,AET..mm.
McLaren_1994,3,1959,Canis lupus,,19,401.722
McLaren_1994,3,1960,Canis lupus,,21,379.823
McLaren_1994,3,1961,Canis lupus,,21,375.512
McLaren_1994,3,1962,Canis lupus,,22,381.271
McLaren_1994,3,1963,Canis lupus,,19,342.622
McLaren_1994,3,1964,Canis lupus,,25,355.085
McLaren_1994,3,1965,Canis lupus,,27,338.193
McLaren_1994,3,1966,Canis lupus,,25,297.031
McLaren_1994,3,1967,Canis lupus,,21,312.836
McLaren_1994,3,1968,Canis lupus,,21,453.512
McLaren_1994,3,1969,Canis lupus,,16,320.997
McLaren_1994,3,1970,Canis lupus,,17,361.957
McLaren_1994,3,1971,Canis lupus,,19,376.076
McLaren_1994,3,1972,Canis lupus,,22,344.131
McLaren_1994,3,1973,Canis lupus,,23,449.596
McLaren_1994,3,1974,Canis lupus,,30,368.205
McLaren_1994,3,1975,Canis lupus,,40,324.518
McLaren_1994,3,1976,Canis lupus,,44,285.864
McLaren_1994,3,1977,Canis lupus,,33,434.92
McLaren_1994,3,1978,Canis lupus,,39,370.268
McLaren_1994,3,1979,Canis lupus,,42,286.357
McLaren_1994,3,1980,Canis lupus,,49,376.743
McLaren_1994,3,1981,Canis lupus,,29,331.396
McLaren_1994,3,1982,Canis lupus,,12,428.486
McLaren_1994,3,1983,Canis lupus,,22,375.596
McLaren_1994,3,1984,Canis lupus,,23,428.273
McLaren_1994,3,1985,Canis lupus,,20,428.151
McLaren_1994,3,1986,Canis lupus,,19,411.28
McLaren_1994,3,1987,Canis lupus,,15,386.866
McLaren_1994,3,1988,Canis lupus,,11,338.157
McLaren_1994,3,1989,Canis lupus,,10,338.883
McLaren_1994,3,1990,Canis lupus,,14,392.413
McLaren_1994,3,1991,Canis lupus,,10,331.123
McLaren_1994,3,1992,Canis lupus,,10,362.845
McLaren_1994,3,1993,Canis lupus,,11,
McLaren_1994,3,1994,Canis lupus,,14,
McLaren_1994,3,1959,Alces alces,,547,401.722
McLaren_1994,3,1960,Alces alces,,558,379.823
McLaren_1994,3,1961,Alces alces,,575,375.512
McLaren_1994,3,1962,Alces alces,,591,381.271
McLaren_1994,3,1963,Alces alces,,630,342.622
McLaren_1994,3,1964,Alces alces,,673,355.085
McLaren_1994,3,1965,Alces alces,,717,338.193
McLaren_1994,3,1966,Alces alces,,849,297.031
McLaren_1994,3,1967,Alces alces,,997,312.836
McLaren_1994,3,1968,Alces alces,,1194,453.512
McLaren_1994,3,1969,Alces alces,,1200,320.997
McLaren_1994,3,1970,Alces alces,,1331,361.957
McLaren_1994,3,1971,Alces alces,,1408,376.076
McLaren_1994,3,1972,Alces alces,,1369,344.131
McLaren_1994,3,1973,Alces alces,,1419,449.596
McLaren_1994,3,1974,Alces alces,,1315,368.205
McLaren_1994,3,1975,Alces alces,,1265,324.518
McLaren_1994,3,1976,Alces alces,,1095,285.864
McLaren_1994,3,1977,Alces alces,,964,434.92
McLaren_1994,3,1978,Alces alces,,991,370.268
McLaren_1994,3,1979,Alces alces,,904,286.357
McLaren_1994,3,1980,Alces alces,,843,376.743
McLaren_1994,3,1981,Alces alces,,800,331.396
McLaren_1994,3,1982,Alces alces,,969,428.486
McLaren_1994,3,1983,Alces alces,,898,375.596
McLaren_1994,3,1984,Alces alces,,1024,428.273
McLaren_1994,3,1985,Alces alces,,1046,428.151
McLaren_1994,3,1986,Alces alces,,1002,411.28
McLaren_1994,3,1987,Alces alces,,1358,386.866
McLaren_1994,3,1988,Alces alces,,1643,338.157
McLaren_1994,3,1989,Alces alces,,1375,338.883
McLaren_1994,3,1990,Alces alces,,1205,392.413
McLaren_1994,3,1991,Alces alces,,1304,331.123
McLaren_1994,3,1992,Alces alces,,1572,362.845
McLaren_1994,3,1993,Alces alces,,1857,
McLaren_1994,3,1994,Alces alces,,1736,
McLaren_1994,3,1959,Abies balsamea (west),0.544,8,401.722
McLaren_1994,3,1960,Abies balsamea (west),0.448,8,379.823
McLaren_1994,3,1961,Abies balsamea (west),0.605,8,375.512
McLaren_1994,3,1962,Abies balsamea (west),0.522,8,381.271
McLaren_1994,3,1963,Abies balsamea (west),0.503,8,342.622
McLaren_1994,3,1964,Abies balsamea (west),0.608,8,355.085
McLaren_1994,3,1965,Abies balsamea (west),0.497,8,338.193
McLaren_1994,3,1966,Abies balsamea (west),0.581,8,297.031
McLaren_1994,3,1967,Abies balsamea (west),0.514,8,312.836
McLaren_1994,3,1968,Abies balsamea (west),0.555,8,453.512
McLaren_1994,3,1969,Abies balsamea (west),0.572,8,320.997
McLaren_1994,3,1970,Abies balsamea (west),0.536,8,361.957
McLaren_1994,3,1971,Abies balsamea (west),0.401,8,376.076
McLaren_1994,3,1972,Abies balsamea (west),0.329,8,344.131
McLaren_1994,3,1973,Abies balsamea (west),0.318,8,449.596
McLaren_1994,3,1974,Abies balsamea (west),0.326,8,368.205
McLaren_1994,3,1975,Abies balsamea (west),0.324,8,324.518
McLaren_1994,3,1976,Abies balsamea (west),0.346,8,285.864
McLaren_1994,3,1977,Abies balsamea (west),0.387,8,434.92
McLaren_1994,3,1978,Abies balsamea (west),0.409,8,370.268
McLaren_1994,3,1979,Abies balsamea (west),0.412,8,286.357
McLaren_1994,3,1980,Abies balsamea (west),0.497,8,376.743
McLaren_1994,3,1981,Abies balsamea (west),0.445,8,331.396
McLaren_1994,3,1982,Abies balsamea (west),0.445,8,428.486
McLaren_1994,3,1983,Abies balsamea (west),0.343,8,375.596
McLaren_1994,3,1984,Abies balsamea (west),0.326,8,428.273
McLaren_1994,3,1985,Abies balsamea (west),0.393,8,428.151
McLaren_1994,3,1986,Abies balsamea (west),0.348,8,411.28
McLaren_1994,3,1987,Abies balsamea (west),0.398,8,386.866
McLaren_1994,3,1988,Abies balsamea (west),0.387,8,338.157
McLaren_1994,3,1989,Abies balsamea (west),0.318,8,338.883
McLaren_1994,3,1990,Abies balsamea (west),0.252,8,392.413
McLaren_1994,3,1991,Abies balsamea (west),0.2,8,331.123
McLaren_1994,3,1992,Abies balsamea (west),0.147,8,362.845
McLaren_1994,3,1959,Abies balsamea (east),0.462,8,401.722
McLaren_1994,3,1960,Abies balsamea (east),0.465,8,379.823
McLaren_1994,3,1961,Abies balsamea (east),0.465,8,375.512
McLaren_1994,3,1962,Abies balsamea (east),0.461,8,381.271
McLaren_1994,3,1963,Abies balsamea (east),0.451,8,342.622
McLaren_1994,3,1964,Abies balsamea (east),0.366,8,355.085
McLaren_1994,3,1965,Abies balsamea (east),0.413,8,338.193
McLaren_1994,3,1966,Abies balsamea (east),0.481,8,297.031
McLaren_1994,3,1967,Abies balsamea (east),0.49,8,312.836
McLaren_1994,3,1968,Abies balsamea (east),0.628,8,453.512
McLaren_1994,3,1969,Abies balsamea (east),0.608,8,320.997
McLaren_1994,3,1970,Abies balsamea (east),0.594,8,361.957
McLaren_1994,3,1971,Abies balsamea (east),0.53,8,376.076
McLaren_1994,3,1972,Abies balsamea (east),0.516,8,344.131
McLaren_1994,3,1973,Abies balsamea (east),0.455,8,449.596
McLaren_1994,3,1974,Abies balsamea (east),0.448,8,368.205
McLaren_1994,3,1975,Abies balsamea (east),0.458,8,324.518
McLaren_1994,3,1976,Abies balsamea (east),0.36,8,285.864
McLaren_1994,3,1977,Abies balsamea (east),0.255,8,434.92
McLaren_1994,3,1978,Abies balsamea (east),0.225,8,370.268
McLaren_1994,3,1979,Abies balsamea (east),0.224,8,286.357
McLaren_1994,3,1980,Abies balsamea (east),0.315,8,376.743
McLaren_1994,3,1981,Abies balsamea (east),0.325,8,331.396
McLaren_1994,3,1982,Abies balsamea (east),0.365,8,428.486
McLaren_1994,3,1983,Abies balsamea (east),0.446,8,375.596
McLaren_1994,3,1984,Abies balsamea (east),0.591,8,428.273
McLaren_1994,3,1985,Abies balsamea (east),0.681,8,428.151
McLaren_1994,3,1986,Abies balsamea (east),0.597,8,411.28
McLaren_1994,3,1987,Abies balsamea (east),0.624,8,386.866
McLaren_1994,3,1988,Abies balsamea (east),0.651,8,338.157
McLaren_1994,3,1989,Abies balsamea (east),0.542,8,338.883
McLaren_1994,3,1990,Abies balsamea (east),0.529,8,392.413
McLaren_1994,3,1991,Abies balsamea (east),0.427,8,331.123
McLaren_1994,3,1992,Abies balsamea (east),0.329,8,362.845
